1 3 10 100
Suites = 1
2.861000 3.603000 6.806000
2.520000 2.374000 5.142000
5.866000 2.705000 8.952000
11.337000 3.640000 15.250000
2.958000 2.947000 6.146000
7.787000 2.344000 10.331000
2.459000 2.666000 5.495000
7.380000 3.050000 10.659000
4.940000 3.111000 8.273000
2.729000 2.671000 5.610000
3.310000 2.474000 6.040000
2.607000 2.970000 5.785000
2.507000 2.359000 5.061000
5.556000 2.609000 8.402000
5.536000 2.423000 8.166000
2.979000 2.409000 5.587000
2.399000 2.749000 5.350000
2.477000 2.394000 5.073000
14.275000 2.407000 16.889000
3.005000 2.461000 5.681000
5.565000 2.467000 8.247000
2.566000 8.193000 11.018000
2.427000 7.644000 10.329000
5.345000 8.036000 13.657000
10.628000 8.280000 19.172000
3.241000 9.119000 12.613000
2.553000 7.839000 10.635000
4.791000 7.558000 12.630000
3.038000 7.874000 11.203000
2.685000 8.080000 11.021000
15.732000 8.240000 24.209000
5.682000 7.528000 13.460000
4.914000 7.829000 12.988000
4.050000 7.832000 12.304000
13.171000 7.455000 20.872000
2.542000 7.994000 10.782000
3.115000 7.927000 11.292000
2.424000 7.494000 10.176000
7.815000 7.639000 15.677000
5.689000 7.772000 13.693000
4.804000 7.504000 12.550000
2.526000 7.753000 10.524000
7.854000 24.144000 32.258000
7.632000 24.398000 32.307000
7.886000 24.584000 32.760000
2.509000 26.246000 29.050000
2.489000 27.229000 30.023000
3.252000 30.056000 33.599000
2.513000 31.048000 33.957000
11.214000 26.035000 37.547000
3.102000 29.174000 32.576000
2.545000 29.648000 34.206000
6.380000 25.311000 32.031000
5.218000 24.044000 29.576000
2.809000 25.483000 28.578000
3.070000 26.263000 29.622000
2.642000 26.919000 29.847000
2.389000 26.111000 28.784000
3.383000 26.585000 30.265000
13.119000 24.280000 37.685000
7.687000 28.231000 36.205000
2.521000 26.310000 29.115000
2.443000 25.460000 28.188000
2.665000 248.779000 252.473000
3.000000 251.926000 256.522000
4.786000 251.012000 256.761000
2.531000 262.385000 265.642000
5.358000 252.987000 259.307000
7.676000 311.349000 320.626000
4.931000 270.662000 276.660000
8.008000 270.169000 279.184000
5.474000 247.947000 254.158000
8.099000 273.879000 283.481000
13.384000 265.841000 280.173000
2.598000 257.825000 261.131000
2.720000 276.496000 280.177000
6.107000 271.438000 278.626000
3.285000 239.056000 243.311000
10.628000 269.563000 281.512000
3.152000 281.732000 286.273000
23.143000 262.274000 286.203000
2.449000 274.847000 278.265000
5.679000 254.005000 260.749000
18.008000 243.283000 262.013000
Suites = 3
16.203000 7.743000 24.493000
13.769000 7.829000 22.180000
17.982000 7.511000 26.047000
8.417000 7.814000 16.813000
8.520000 7.730000 16.815000
16.500000 7.727000 24.788000
10.177000 7.458000 18.211000
