1 3 10 100
Suites = 1
2.744000 3.502000 6.512000
2.627000 2.858000 5.723000
23.104000 2.443000 25.763000
11.320000 2.446000 13.979000
5.557000 2.460000 8.216000
5.507000 2.422000 8.139000
5.565000 2.381000 8.155000
12.737000 2.922000 15.872000
8.212000 2.424000 10.837000
2.622000 3.027000 5.869000
8.745000 2.569000 11.522000
10.323000 3.017000 13.559000
2.459000 2.385000 5.033000
3.236000 2.397000 5.831000
5.987000 2.546000 8.739000
4.916000 2.846000 7.982000
4.926000 2.846000 7.986000
10.463000 2.437000 13.100000
7.990000 2.927000 11.131000
2.513000 2.446000 5.147000
5.710000 2.447000 8.357000
2.704000 11.313000 14.412000
4.439000 10.240000 14.939000
3.165000 7.903000 11.461000
12.650000 7.770000 20.680000
3.081000 7.491000 10.810000
4.798000 7.684000 12.727000
11.224000 11.175000 22.687000
15.402000 8.709000 24.357000
3.001000 10.306000 14.039000
11.885000 7.455000 19.614000
3.779000 9.899000 13.969000
22.668000 10.747000 33.786000
17.638000 10.177000 28.599000
2.726000 9.501000 12.506000
2.431000 8.916000 11.623000
6.431000 7.894000 14.607000
11.756000 10.064000 22.175000
2.899000 8.789000 13.161000
4.726000 8.283000 13.303000
2.705000 7.916000 10.862000
8.101000 7.482000 15.825000
2.476000 29.255000 31.996000
5.484000 26.547000 32.329000
16.349000 27.140000 43.788000
8.278000 28.338000 36.898000
5.193000 26.746000 32.271000
3.093000 27.649000 31.027000
2.476000 27.418000 30.179000
2.408000 24.326000 27.252000
5.747000 30.265000 36.302000
5.396000 25.049000 30.725000
2.567000 25.016000 27.864000
8.248000 26.115000 34.639000
3.120000 26.321000 29.707000
2.513000 28.067000 30.856000
15.173000 25.635000 41.085000
2.443000 25.633000 28.361000
2.993000 27.094000 30.378000
5.481000 25.804000 31.583000
2.732000 26.401000 29.418000
3.079000 26.844000 30.213000
2.407000 25.134000 27.835000
3.318000 263.943000 268.326000
9.192000 266.366000 276.305000
2.961000 248.221000 253.030000
3.645000 267.216000 272.118000
7.887000 253.549000 262.146000
7.677000 265.057000 273.707000
2.489000 265.922000 269.237000
2.637000 259.600000 263.662000
2.472000 265.327000 268.508000
3.220000 281.815000 286.024000
2.398000 253.876000 257.308000
2.685000 273.907000 278.187000
2.492000 260.208000 263.461000
5.415000 272.945000 279.373000
2.521000 269.658000 273.154000
2.555000 261.077000 264.589000
2.656000 255.320000 259.009000
6.811000 270.832000 279.138000
14.687000 261.728000 277.495000
2.729000 259.438000 263.208000
2.485000 266.616000 270.057000
Suites = 3
20.610000 7.554000 28.723000
10.836000 8.241000 19.655000
16.781000 7.841000 25.225000
21.336000 7.782000 29.691000
18.969000 8.201000 27.746000
21.627000 7.786000 29.972000
10.225000 8.202000 18.982000
12.804000 7.824000 21.184000
16.599000 8.045000 25.213000
18.032000 7.878000 26.477000
13.704000 7.736000 21.997000
11.130000 7.581000 19.262000
21.567000 8.296000 30.439000
10.508000 7.708000 18.780000
12.705000 8.037000 21.360000
26.234000 7.531000 34.341000
15.265000 9.957000 26.012000
12.385000 7.839000 20.792000
15.673000 7.748000 24.001000
22.412000 9.003000 31.986000
8.374000 7.749000 16.927000
16.664000 25.805000 43.072000
21.255000 27.854000 49.902000
8.312000 25.952000 34.912000
20.648000 26.488000 47.731000
21.588000 25.777000 47.962000
16.141000 29.644000 46.385000
22.006000 27.433000 50.158000
12.840000 25.807000 39.292000
32.018000 29.952000 62.609000
10.979000 25.824000 37.399000
13.605000 30.824000 45.363000
18.843000 27.865000 47.373000
13.601000 26.623000 41.633000
7.427000 26.544000 34.582000
27.851000 25.455000 54.160000
10.367000 25.295000 36.261000
11.409000 27.131000 39.154000
10.444000 26.126000 37.313000
14.828000 29.208000 44.670000
13.328000 26.466000 40.445000
8.043000 26.359000 34.997000
16.814000 267.029000 284.834000
20.722000 274.586000 296.712000
7.865000 266.009000 275.200000
23.677000 264.084000 289.151000
10.707000 299.066000 310.899000
24.759000 269.157000 297.621000
12.391000 301.563000 315.349000
29.163000 321.362000 352.604000
18.551000 267.960000 287.828000
10.626000 266.058000 277.953000
13.535000 262.716000 277.289000
10.914000 267.987000 280.194000
19.512000 271.142000 294.209000
8.855000 259.588000 270.257000
27.813000 278.519000 307.694000
13.741000 279.442000 294.232000
46.573000 301.345000 349.185000
18.396000 275.828000 296.293000
18.436000 274.853000 294.339000
8.234000 265.628000 275.131000
16.305000 308.357000 326.432000
Suites = 10
51.369000 26.452000 79.499000
78.077000 27.264000 107.022000
61.992000 29.438000 93.636000
54.274000 25.866000 81.811000
51.249000 26.549000 80.204000
55.811000 25.861000 83.352000
33.253000 28.458000 63.368000
78.539000 27.319000 107.517000
53.797000 26.383000 82.145000
43.641000 27.096000 72.401000
80.299000 25.671000 107.852000
90.907000 28.154000 120.966000
50.247000 28.370000 80.396000
40.955000 26.705000 69.377000
61.076000 31.762000 94.649000
39.133000 25.427000 66.234000
51.312000 25.784000 78.859000
54.358000 27.044000 83.166000
62.960000 26.266000 91.214000
63.193000 27.187000 92.167000
67.196000 26.187000 95.121000
66.282000 264.575000 333.294000
62.127000 312.385000 378.118000
65.401000 268.985000 336.886000
55.130000 270.472000 328.161000
53.730000 266.772000 322.865000
79.459000 270.564000 352.161000
35.923000 313.031000 352.586000
59.102000 272.993000 334.644000
53.697000 290.225000 347.852000
67.244000 273.537000 343.239000
41.169000 278.442000 322.198000
47.794000 267.523000 317.733000
67.695000 329.660000 399.727000
40.229000 271.378000 314.067000
48.626000 268.184000 319.270000
87.725000 265.209000 355.588000
105.313000 262.898000 370.667000
35.475000 267.216000 304.982000
58.711000 283.735000 344.730000
58.003000 275.795000 336.024000
66.113000 288.789000 357.481000
