1 3 10 100
Suites = 1
2.543000 3.615000 6.277000
3.104000 3.044000 6.272000
6.255000 2.693000 9.042000
5.554000 2.657000 8.267000
5.421000 2.448000 7.921000
5.610000 2.417000 8.078000
2.445000 2.888000 5.391000
4.915000 2.927000 7.904000
2.499000 2.783000 5.344000
3.138000 2.528000 5.735000
2.470000 2.911000 5.608000
2.602000 2.500000 5.149000
2.836000 3.321000 6.232000
15.832000 2.540000 18.432000
10.930000 2.981000 13.980000
2.547000 2.432000 5.047000
2.387000 3.034000 5.487000
7.832000 2.418000 10.305000
11.287000 2.738000 14.259000
2.422000 2.511000 4.994000
2.395000 2.834000 5.295000
3.021000 7.930000 11.023000
2.471000 8.013000 10.586000
4.892000 7.810000 12.800000
8.148000 8.131000 16.369000
3.031000 7.873000 11.142000
2.517000 8.053000 10.667000
5.344000 8.398000 13.840000
3.017000 8.351000 11.459000
2.561000 7.692000 10.346000
2.354000 7.446000 9.880000
5.470000 7.791000 13.351000
10.442000 8.049000 18.581000
8.379000 9.157000 17.635000
3.293000 9.143000 12.550000
3.054000 8.060000 11.218000
3.223000 8.510000 11.827000
2.474000 8.012000 10.583000
5.477000 7.535000 13.104000
3.196000 7.836000 11.116000
4.896000 8.080000 13.072000
7.913000 8.107000 16.118000
8.555000 27.273000 35.957000
2.571000 29.250000 31.989000
3.643000 29.319000 33.413000
3.289000 29.617000 33.027000
2.793000 28.300000 31.220000
2.558000 28.154000 30.826000
2.483000 26.493000 29.104000
21.129000 26.403000 47.655000
3.105000 26.475000 29.708000
11.006000 27.816000 38.946000
10.703000 25.901000 36.731000
3.122000 26.823000 30.067000
10.767000 25.841000 36.736000
5.717000 26.661000 32.498000
2.479000 27.621000 30.460000
5.178000 26.894000 32.247000
8.422000 27.890000 36.723000
3.261000 27.485000 30.881000
2.473000 26.665000 29.273000
3.134000 26.971000 30.242000
2.748000 28.287000 31.171000
10.664000 268.781000 280.421000
2.463000 272.817000 277.034000
7.858000 272.816000 281.570000
5.240000 262.674000 268.524000
4.932000 261.769000 268.466000
10.450000 276.189000 287.668000
2.870000 280.490000 284.158000
4.869000 277.040000 282.875000
11.334000 267.127000 279.292000
4.908000 270.388000 275.900000
3.200000 273.691000 277.737000
2.513000 276.399000 279.771000
5.634000 255.916000 262.464000
3.123000 280.521000 284.258000
5.492000 271.002000 277.433000
5.422000 269.703000 275.992000
2.448000 266.544000 269.614000
2.452000 266.751000 270.041000
5.375000 272.257000 278.553000
5.307000 271.745000 277.714000
2.660000 266.584000 270.082000
Suites = 3
13.736000 25.743000 39.761000
14.435000 27.039000 41.880000
26.142000 26.755000 53.025000
22.514000 24.637000 47.272000
16.234000 23.821000 40.184000
10.573000 24.149000 34.846000
18.384000 26.055000 44.574000
14.021000 26.302000 40.456000
13.436000 25.468000 39.037000
15.919000 23.759000 39.820000
10.981000 25.716000 36.838000
15.361000 24.211000 39.700000
40.412000 24.842000 65.389000
26.271000 23.646000 50.068000
13.420000 23.923000 37.481000
36.868000 24.698000 61.709000
16.725000 23.713000 40.580000
7.976000 23.787000 31.908000
7.832000 23.547000 31.514000
13.669000 24.661000 38.475000
13.953000 23.837000 37.932000
16.212000 84.180000 100.632000
13.851000 79.152000 93.233000
20.633000 81.320000 102.189000
10.299000 81.889000 92.529000
10.998000 82.356000 93.613000
11.539000 81.395000 93.409000
10.639000 80.678000 91.542000
10.447000 81.007000 91.685000
8.529000 79.125000 87.929000
26.941000 78.617000 105.800000
21.621000 76.620000 98.463000
19.744000 80.349000 100.353000
21.298000 81.217000 103.007000
8.368000 81.272000 89.863000
8.026000 81.306000 89.555000
10.426000 81.650000 92.312000
11.284000 81.125000 92.902000
10.859000 80.069000 91.163000
18.967000 81.852000 101.054000
8.019000 82.854000 91.136000
12.759000 81.974000 95.216000
25.888000 818.895000 847.546000
11.211000 834.551000 849.130000
12.730000 805.073000 821.545000
16.115000 825.853000 844.696000
24.382000 884.813000 911.452000
13.743000 889.931000 907.052000
10.398000 1042.099000 1055.278000
19.889000 863.336000 886.085000
14.843000 832.617000 850.996000
13.210000 837.810000 853.808000
13.542000 850.327000 866.378000
19.946000 827.450000 851.314000
18.632000 835.958000 857.806000
9.162000 920.153000 932.759000
18.767000 856.428000 878.657000
9.754000 842.876000 855.990000
19.004000 830.380000 853.234000
22.257000 854.191000 879.736000
29.256000 829.856000 861.401000
13.783000 839.344000 855.946000
22.202000 828.065000 853.936000
Suites = 10
50.936000 278.511000 330.310000
39.651000 264.522000 305.154000
75.424000 279.798000 356.928000
41.733000 277.319000 320.115000
64.212000 270.876000 336.340000
43.131000 274.427000 318.475000
49.021000 267.473000 317.433000
65.150000 271.311000 337.378000
51.259000 275.544000 327.796000
86.816000 278.417000 365.885000
40.992000 273.734000 315.382000
58.439000 271.331000 330.909000
52.021000 271.649000 324.536000
49.992000 271.622000 322.897000
54.358000 275.562000 330.875000
59.818000 274.759000 335.481000
48.999000 274.385000 324.353000
48.824000 268.748000 318.731000
66.092000 269.305000 336.320000
66.575000 272.958000 340.538000
47.108000 269.527000 318.279000
83.277000 3063.773000 3158.875000
43.066000 3075.401000 3129.822000
38.600000 3018.086000 3068.711000
57.546000 2991.243000 3064.218000
43.737000 2963.180000 3021.251000
49.992000 3057.280000 3120.052000
47.515000 2929.912000 3003.929000
73.348000 3002.344000 3090.216000
93.662000 2988.897000 3096.502000
54.820000 3090.215000 3159.781000
50.769000 2983.482000 3046.241000
60.472000 2957.087000 3030.336000
54.800000 3019.572000 3087.564000
50.273000 3010.055000 3074.501000
72.971000 2938.639000 3024.884000
58.642000 3056.927000 3132.677000
59.617000 3249.154000 3322.399000
55.810000 3019.057000 3089.115000
32.085000 2980.884000 3027.643000
74.078000 3048.180000 3136.292000
52.046000 4317.663000 4385.023000
